"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Huomio </strong>: Captcha isot ja pienet kirjaimet." 
"After number of attempts to login","Kun määrä yrittää kirjautua" 
"Always","Aina" 
"CAPTCHA","CAPTCHA" 
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minuuttia)" 
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA for ""Luo käyttäjä"" ja ""Unohditko salasanasi"" muotoja on aina käytössä, jos valitaan" 
"Case Sensitive","Case Sensitive" 
"Displaying Mode","Näytetään Mode" 
"Enable CAPTCHA in Admin","Ota CAPTCHA Admin" 
"Enable CAPTCHA on Frontend","Ota CAPTCHA on Katselu" 
"Font","Font" 
"Forms","Lomakkeet" 
"If 0 is specified, CAPTCHA on the Login form will be always available.","Jos 0 on määritelty, CAPTCHA on sisäänkirjautumislomakkeen on aina käytettävissä." 
"Incorrect CAPTCHA.","Väärä CAPTCHA." 
"Number of Symbols","Symbolien määrä" 
"Number of Unsuccessful Attempts to Login","Määrä epäonnistuneen kirjautumisyrityksen" 
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Ilmoitathan 8 symbolien eniten. Sallittu alue (esim. 3-5)" 
"Please type the letters below","Kirjoita alla olevat kirjaimet" 
"Please type the letters from the image:","Kirjoita kirjaimet kuva:" 
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Käytä ainoastaan ​​kirjaimia (az tai AZ) ja numeroita (0-9) tällä alalla. Ei ole välilyöntiä eikä muita merkkejä ovat sallittuja. <br /> Vastaavia näköisiä merkkejä (esim.""i"",""L"", ""1"") vähentää mahdollisuus tunnustaa asianmukaisesti asiakkaan. " 
"Reload captcha","Reload captcha" 
"Symbols Used in CAPTCHA","Käytetyt symbolit CAPTCHA" 
