Add Text,Añadir texto
Apply Background,Aplicar Antecedentes
Choose Art,Elija Arte
Add Title,Añadir título
Add,añadir
Background,fondo
Image,imagen
Art,arte
Add Image,Añadir imagen
Choose Product,Elija producto
Edit,editar
Edit Panel,Editar Panel
"Ungroup does one level layering, so to do further layering, ungroup again until you can select the element you want to change color for.","Desagrupar hace una estratificación de nivel , por lo que hacer más capas , desagrupar de nuevo hasta que pueda seleccionar el elemento que desee cambiar de color para ."
Select any layer to change color of complete layer.,Seleccione cualquier capa para cambiar el color de la capa completa .
"You can add only one element (i.e. Smiley, Text, Image) at a time.","Usted puede agregar un solo elemento (es decir, Smiley, de texto, de imagen ) a la vez."
Please select the element to edit/delete it.,"Por favor, seleccione el elemento para editar / eliminarlo."
You can change the designer product directly from here,Usted puede cambiar el producto de diseño directamente desde aquí
Note: But the changes you made in the previous product wont be saved.,"Nota: Sin embargo, los cambios realizados en el producto anterior suele ser salvos."
Select any color from the dropdown to change color of the design area. ,Seleccione cualquier color de la lista desplegable para cambiar el color del área de diseño .
You can also change the font and the color of the font.,También puede cambiar el tipo de letra y el color de la fuente.
You can add text from here,Puede agregar texto de aquí
You can add title from here,Usted puede agregar el título de aquí
Upload Images,Subir Imágenes
Upload images from your local storage.,Cargar imágenes desde su almacenamiento local.
Choose and click the image you want to use in design.,Elija y haga clic en la imagen que desea utilizar en el diseño .
You can resize and rotate the image further using editing controls.,Puede cambiar el tamaño y rotar la imagen aún más el uso de controles de edición.
Images Gallery,Galería de imágenes
ADD TO CART,Añadir a la Cesta
APPLY BACKGROUND COLOR,Aplicar color de fondo
Add Art,Agregar Arte
ADD IMAGE,Añadir imagen
Apply Background Color,Aplicar color de fondo
Change Text Color,Cambiar el color del texto
Change Text Size,Cambiar tamaño del texto
Your Name,Su nombre
Font Style,Estilo de fuente
Change Title Color,Cambiar Color del título
Change Title Size,Cambie Título Tamaño
Your Title,Su Título
QTY,Antall
Item number,Artikkelnummer
ADD IMAGE,Legg til bilde
Add Image,Legg til bilde
Last opp bilder fra din lokal lagring.,Last opp bilde fra din harddisk (on information box for images)
In cart - NAME TITLE,Navn Title - Tittel
Clear handlevogn,Tøm handlevogn
Personilized,Tilpass ditt PenHygenic skilt
Product code,Artikkelnummer
Text Font Style,Fuente del texto Estilo 
Your Text,Su Texto
Add file,Añadir archivo 
Upload,subir
Choosing new product will scrap your existing design in design area. Do you want to proceed?,La elección de nuevo producto desechará su diseño ya existente en el área de diseño. ¿Quieres continuar?
Emotions,Emociones 
Animals,Animales 
Family,Familia 
Flowers,Flores
"Ungroup does one level layering, so to do further layering, ungroup again until you select the final color you want to change.","Desagrupar hace una estratificación de nivel, por lo que hacer más capas, desagrupar de nuevo hasta que se selecciona el color final que desea cambiar."
No files to upload,No hay datos para cargar
Title Font Style,Título Estilo de fuente
Change Scissor Colour,Cambiar tijera Color
Add Scissor,Añadir Scissor
Change Product,Cambio de producto
Change Scissor Color,Cambiar Scissor color
text colour,Color de texto
